1|0504251|3521773
18|0513860|3519774
29|0511048|3517281
33|0512711|3520342
42|0513810|3515239
45|0508405|3517566
51|0516597|3522091
53|0518127|3523194
55|0513693|3514765
58|0517725|3517394
60|0511618|3514658
61|0511587|3514212
63|0510855|3511703
65|0515152|3514003
66|0515260|3514027
67|0515252|3514082
68|0515311|3514129
69|0515300|3514129
70|0515275|3514129
71|0515145|3514195
72|0515076|3514198
74|0510933|3517711
75|0511889|3517325
76|0511225|3516573
77|0511374|3516617
78|0511809|3516249
79|0512395|3515697
81|0515565|3523059
82|0510831|3519518
83|0514103|3521727
86|0511383|3517408
89|0515634|3517120
90|0512299|3518289
91|0513144|3516526
92|0512066|3516896
93|0516771|3524542
96|0515073|3519367
97|0516671|3523397
102|0518333|3518410
107|0515132|3520310
108|0515187|3519920
109|0514123|3515107
110|0513720|3515149
111|0510839|3519467
112|0515032|3522608
114|0517326|3524025
116|0514145|3515004
119|0510778|3516023
120|0517184|3517697
122|0504265|3521763
126|0515755|3518355
127|0515726|3518304
131|0507875|3521203
132|0507987|3521338
133|0507951|3521299
134|0508138|3521207
148|0508268|3521362
149|0508115|3521490
150|0508167|3521403
160|0510748|3516051
175|0508311|3519664
179|0511959|3518160
180|0512055|3518307
181|0511921|3518341
183|0512187|3518240
219|0516563|3518616
220|0516577|3519127
221|0516108|3519813
222|0514738|3520233
224|0515932|3523142
228|0512748|3520438
229|0518006|3522274
230|0518214|3524349
231|0517917|3526184
233|0516320|3524894
234|0515689|3524656
237|0514190|3515472
239|0515328|3516438
240|0516543|3516634
241|0516792|3517065
242|0517667|3517947
244|0517582|3519345
245|0517805|3519911
246|0517872|3520316
247|0518101|3520818
249|0518088|3523279
250|0516637|3523383
251|0516226|3522505
252|0516147|3522775
254|0514605|3522223
255|0513733|3521487
256|0513450|3521179
262|0510717|3514770
265|0510484|3513837
266|0509652|3514978
268|0508475|3517058
269|0508806|3517870
270|0507109|3518896
273|0503781|3520872
274|0505075|3522245
277|0508532|3519667
279|0508822|3521574
280|0507833|3523718
281|0508331|3524355
283|0510855|3523249
287|0515788|3518293
289|0510599|3519996
290|0517049|3525149
292|0518015|3527763
293|0517634|3529507
297|0512484|3527707
298|0511260|3529262
299|0509247|3526877
301|0511347|3527181
303|0515083|3525773
304|0515945|3518238
332|0515853|3524878
333|0515855|3524820
334|0515849|3524812
335|0515841|3524818
336|0515859|3524862
337|0511206|3519298
338|0511055|3519286
339|0511031|3519389
